Date,Mkt-RF,SMB,HML,RMW,CMA,RF
20210104,-1.41,0.24,0.48,-0.71,0.22,0
20210105,0.86,1.33,0.48,0.34,0.6,0
20210106,0.79,3.18,3.91,0.01,0.58,0
20210107,1.76,0,-0.79,-1.47,-0.23,0
20210108,0.51,-1.05,-1.32,-0.39,-0.44,0
20210111,-0.52,0.56,1.24,-0.18,0.47,0
20210112,0.38,1.48,1.21,-0.45,0.43,0
20210113,0.07,-1.02,-0.46,-0.21,-0.04,0
20210114,-0.11,2.4,1.08,-1.03,0.47,0
20210115,-0.86,-0.75,-0.75,0.28,-0.47,0
20210119,0.92,0.74,-0.79,-0.69,0.09,0
20210120,1.26,-0.75,-1.07,0.64,-0.4,0
20210121,-0.04,-0.75,-0.96,0.83,0.39,0
20210122,-0.07,1.62,-0.09,-0.68,0.6,0
20210125,0.29,-0.3,-0.39,0.24,0.96,0
20210126,-0.32,0.03,-0.05,0.98,1.14,0
20210127,-2.53,1.21,1.55,0.55,2.52,0
20210128,0.92,-1.69,-0.91,-1.04,-2.3,0
20210129,-1.84,0.43,0.58,-0.76,0.4,0
20210201,1.73,0.75,-1.47,-0.24,-1.22,0
20210202,1.48,-0.8,-1.07,-1,-2.19,0
20210203,0.16,0.72,0.66,-0.12,0.21,0
20210204,1.23,0.6,0.36,-0.11,-0.23,0
20210205,0.57,0.96,-0.48,-0.72,0.42,0
20210208,0.96,2.22,0.41,-0.93,0.7,0
20210209,0.05,0.72,-0.21,-0.77,-0.45,0
20210210,-0.08,-0.45,0.62,0.22,-0.02,0
20210211,0.19,-0.32,-0.46,-0.3,-0.04,0
20210212,0.49,-0.11,0.47,-0.38,-0.03,0
20210216,-0.14,-0.21,1.87,0.14,0.02,0
20210217,-0.21,-0.68,0.61,0.28,-0.15,0
20210218,-0.64,-1.49,-0.18,0.92,-0.46,0
20210219,0.16,2.04,0.72,-0.45,0.54,0
20210222,-1.13,0.71,3.17,1.69,0.86,0
20210223,-0.15,-1.03,0.89,1.15,-0.21,0
20210224,1.15,1.49,1.42,-0.31,0.33,0
20210225,-2.74,-0.92,0.91,1,0.41,0
20210226,-0.28,0.3,-1.55,0,-0.43,0
20210301,2.63,1.17,0.15,-0.45,0.32,0
20210302,-1.05,-0.77,1.23,0.62,0.21,0
20210303,-1.57,0.64,3.56,1.66,1.05,0
20210304,-1.7,-1.1,1.72,1.28,0.43,0
20210305,1.85,0.36,0.63,0.97,0.49,0
20210308,-0.67,1.49,3.68,1.61,0.9,0
20210309,1.79,0.45,-3.24,-1.86,-0.46,0
